"","date","name","category","value"
"384",1970-01-08,"Rhode.Island","S",929596
"385",1970-01-09,"Maryland","S",6497744
"386",1970-01-09,"Iowa","S",3086788
"387",1970-01-09,"Delaware","S",834420
"388",1970-01-09,"Ohio","S",11331100
"389",1970-01-09,"Pennsylvania","S",12677130
"390",1970-01-09,"Nebraska","S",1828636
"391",1970-01-09,"Washington","S",7083135
"392",1970-01-09,"Alabama","S",4507724
"393",1970-01-09,"Arkansas","S",2652788
"394",1970-01-09,"New.Mexico","S",2007169
"395",1970-01-09,"Texas","S",26095930
"396",1970-01-09,"California","S",35114980
"397",1970-01-09,"Kentucky","S",4646502
"398",1970-01-09,"Georgia","S",9667042
"399",1970-01-09,"Wisconsin","S",5784086
"400",1970-01-09,"Oregon","S",4026673
"401",1970-01-09,"Missouri","S",6095176
"402",1970-01-09,"Virginia","S",8356177
"403",1970-01-09,"Tennessee","S",5924996
"404",1970-01-09,"Louisiana","S",4425600
"405",1970-01-09,"New.York","S",18341690
"406",1970-01-09,"Michigan","S",9800301
"407",1970-01-09,"Idaho","S",1677723
"408",1970-01-09,"Florida","S",20131420
"409",1970-01-09,"Illinois","S",12956220
"410",1970-01-09,"Montana","S",1020306
"411",1970-01-09,"Minnesota","S",5469500
"412",1970-01-09,"Indiana","S",6518298
"413",1970-01-09,"Massachusetts","S",5612916
"414",1970-01-09,"Kansas","S",2858035
"415",1970-01-09,"Nevada","S",2761690
"416",1970-01-09,"Vermont","S",634153
"417",1970-01-09,"Connecticut","S",3351654
"418",1970-01-09,"New.Jersey","S",10054250
"419",1970-01-09,"North.Carolina","S",9311830
"420",1970-01-09,"Utah","S",3037363
"421",1970-01-09,"North.Dakota","S",672026
"422",1970-01-09,"South.Carolina","S",4474623
"423",1970-01-09,"Mississippi","S",2782401
"424",1970-01-09,"Colorado","S",5367069
"425",1970-01-09,"South.Dakota","S",849586
"426",1970-01-09,"Oklahoma","S",3545716
"427",1970-01-09,"Wyoming","S",587924
"428",1970-01-09,"West.Virginia","S",1822686
"429",1970-01-09,"Maine","S",1216068
"430",1970-01-09,"New.Hampshire","S",1278560
"431",1970-01-09,"Arizona","S",6091467
"432",1970-01-09,"Rhode.Island","S",929596
"433",1970-01-10,"Maryland","S",6497744
"434",1970-01-10,"Iowa","S",3086788
"435",1970-01-10,"Delaware","S",834420
"436",1970-01-10,"Ohio","S",11331100
"437",1970-01-10,"Pennsylvania","S",12677130
"438",1970-01-10,"Nebraska","S",1828636
"439",1970-01-10,"Washington","S",7083135
"440",1970-01-10,"Alabama","S",4507724
"441",1970-01-10,"Arkansas","S",2652788
"442",1970-01-10,"New.Mexico","S",2007169
"443",1970-01-10,"Texas","S",26095930
"444",1970-01-10,"California","S",35114980
"445",1970-01-10,"Kentucky","S",4646502
"446",1970-01-10,"Georgia","S",9666303
"447",1970-01-10,"Wisconsin","S",5784086
"448",1970-01-10,"Oregon","S",4026673
"449",1970-01-10,"Missouri","S",6095176
"450",1970-01-10,"Virginia","S",8356177
"451",1970-01-10,"Tennessee","S",5924996
"452",1970-01-10,"Louisiana","S",4425600
"453",1970-01-10,"New.York","S",18341690
"454",1970-01-10,"Michigan","S",9800301
"455",1970-01-10,"Idaho","S",1677723
"456",1970-01-10,"Florida","S",20131420
"457",1970-01-10,"Illinois","S",12956220
"458",1970-01-10,"Montana","S",1020306
"459",1970-01-10,"Minnesota","S",5469500
"460",1970-01-10,"Indiana","S",6518298
"461",1970-01-10,"Massachusetts","S",5612916
"462",1970-01-10,"Kansas","S",2858035
"463",1970-01-10,"Nevada","S",2761690
"464",1970-01-10,"Vermont","S",634153
"465",1970-01-10,"Connecticut","S",3351654
"466",1970-01-10,"New.Jersey","S",10054250
"467",1970-01-10,"North.Carolina","S",9311830
"468",1970-01-10,"Utah","S",3037363
"469",1970-01-10,"North.Dakota","S",672026
"470",1970-01-10,"South.Carolina","S",4474623
"471",1970-01-10,"Mississippi","S",2782401
"472",1970-01-10,"Colorado","S",5367069
