"","date","name","category","value"
"445",1970-01-10,"Kentucky",26,4646502
"446",1970-01-10,"Georgia",39,9667100
"447",1970-01-10,"Wisconsin",30,5784086
"448",1970-01-10,"Oregon",22,4026673
"449",1970-01-10,"Missouri",33,6095176
"450",1970-01-10,"Virginia",37,8356177
"451",1970-01-10,"Tennessee",31,5924996
"452",1970-01-10,"Louisiana",23,4425600
"453",1970-01-10,"New.York",45,18341690
"454",1970-01-10,"Michigan",40,9800301
"455",1970-01-10,"Idaho",10,1677723
"456",1970-01-10,"Florida",46,20131420
"457",1970-01-10,"Illinois",44,12956220
"458",1970-01-10,"Montana",7,1020306
"459",1970-01-10,"Minnesota",28,5469500
"460",1970-01-10,"Indiana",35,6518298
"461",1970-01-10,"Massachusetts",29,5612916
"462",1970-01-10,"Kansas",17,2858035
"463",1970-01-10,"Nevada",15,2761690
"464",1970-01-10,"Vermont",2,634153
"465",1970-01-10,"Connecticut",20,3351654
"466",1970-01-10,"New.Jersey",41,10054250
"467",1970-01-10,"North.Carolina",38,9311830
"468",1970-01-10,"Utah",18,3037363
"469",1970-01-10,"North.Dakota",3,672026
"470",1970-01-10,"South.Carolina",24,4474623
"471",1970-01-10,"Mississippi",16,2782401
"472",1970-01-10,"Colorado",27,5367069
"473",1970-01-10,"South.Dakota",5,849586
"474",1970-01-10,"Oklahoma",21,3545716
"475",1970-01-10,"Wyoming",1,587924
"476",1970-01-10,"West.Virginia",11,1822686
"477",1970-01-10,"Maine",8,1216068
"478",1970-01-10,"New.Hampshire",9,1278560
"479",1970-01-10,"Arizona",32,6091467
"480",1970-01-10,"Rhode.Island",6,929596
"481",1970-01-11,"Maryland",34,6497744
"482",1970-01-11,"Iowa",19,3086788
"483",1970-01-11,"Delaware",4,834420
"484",1970-01-11,"Ohio",42,11331100
"485",1970-01-11,"Pennsylvania",43,12677130
"486",1970-01-11,"Nebraska",12,1828636
"487",1970-01-11,"Washington",36,7083135
"488",1970-01-11,"Alabama",25,4507724
"489",1970-01-11,"Arkansas",14,2652788
"490",1970-01-11,"New.Mexico",13,2007169
"491",1970-01-11,"Texas",47,26095930
"492",1970-01-11,"California",48,35114980
"493",1970-01-11,"Kentucky",26,4646502
"494",1970-01-11,"Georgia",39,9666498
"495",1970-01-11,"Wisconsin",30,5784086
"496",1970-01-11,"Oregon",22,4026673
"497",1970-01-11,"Missouri",33,6095176
"498",1970-01-11,"Virginia",37,8356177
"499",1970-01-11,"Tennessee",31,5924996
"500",1970-01-11,"Louisiana",23,4425600
"501",1970-01-11,"New.York",45,18341690
"502",1970-01-11,"Michigan",40,9800301
"503",1970-01-11,"Idaho",10,1677723
"504",1970-01-11,"Florida",46,20131420
"505",1970-01-11,"Illinois",44,12956220
"506",1970-01-11,"Montana",7,1020306
"507",1970-01-11,"Minnesota",28,5469500
"508",1970-01-11,"Indiana",35,6518298
"509",1970-01-11,"Massachusetts",29,5612916
"510",1970-01-11,"Kansas",17,2858035
"511",1970-01-11,"Nevada",15,2761690
"512",1970-01-11,"Vermont",2,634153
"513",1970-01-11,"Connecticut",20,3351654
"514",1970-01-11,"New.Jersey",41,10054250
"515",1970-01-11,"North.Carolina",38,9311830
"516",1970-01-11,"Utah",18,3037363
"517",1970-01-11,"North.Dakota",3,672026
"518",1970-01-11,"South.Carolina",24,4474623
"519",1970-01-11,"Mississippi",16,2782401
"520",1970-01-11,"Colorado",27,5367069
"521",1970-01-11,"South.Dakota",5,849586
"522",1970-01-11,"Oklahoma",21,3545716
"523",1970-01-11,"Wyoming",1,587924
"524",1970-01-11,"West.Virginia",11,1822686
"525",1970-01-11,"Maine",8,1216068
"526",1970-01-11,"New.Hampshire",9,1278560
"527",1970-01-11,"Arizona",32,6091467
"528",1970-01-11,"Rhode.Island",6,929596
"529",1970-01-12,"Maryland",34,6497744
"530",1970-01-12,"Iowa",19,3086788
"531",1970-01-12,"Delaware",4,834420
"532",1970-01-12,"Ohio",42,11331100
"533",1970-01-12,"Pennsylvania",43,12677130
"534",1970-01-12,"Nebraska",12,1828636
"535",1970-01-12,"Washington",36,7083135
"536",1970-01-12,"Alabama",25,4507724
"537",1970-01-12,"Arkansas",14,2652788
"538",1970-01-12,"New.Mexico",13,2007169
"539",1970-01-12,"Texas",47,26095930
"540",1970-01-12,"California",48,35114980
"541",1970-01-12,"Kentucky",26,4646502
"542",1970-01-12,"Georgia",39,9665562
"543",1970-01-12,"Wisconsin",30,5784086
"544",1970-01-12,"Oregon",22,4026673
"545",1970-01-12,"Missouri",33,6095176
"546",1970-01-12,"Virginia",37,8356177
"547",1970-01-12,"Tennessee",31,5924996
"548",1970-01-12,"Louisiana",23,4425600
"549",1970-01-12,"New.York",45,18341690
"550",1970-01-12,"Michigan",40,9800301
"551",1970-01-12,"Idaho",10,1677723
"552",1970-01-12,"Florida",46,20131420
"553",1970-01-12,"Illinois",44,12956220
